entry_E,tp_off,stop_off,total_net_pnl,total_cost_pnl,total_contracts,total_shares
2.5,1.0,2.0,532336.4190808984,463927.79091909796,2138,5744320
2.5,1.0,1.5,408354.1670540652,469322.60294593195,2166,5700656
2.0,1.0,2.0,155102.78905430305,720665.530945706,3328,8665220
2.5,0.5,2.0,-7326.312830041046,74880.06783003602,338,1185764
2.5,0.5,1.5,-14125.766701800341,69172.971701796,310,1092692
2.0,1.0,1.5,-90805.71080948706,700398.055809496,3248,8525576
2.0,0.5,2.0,-235627.43184800664,207257.656848006,922,2624396
2.0,0.5,1.5,-248410.96043162548,205369.83543162604,912,2591156
1.5,0.5,1.5,-287929.2534849423,327255.44848495,1422,4886760
1.5,0.5,2.0,-311627.89879287867,347368.45379288396,1518,5225232
1.5,1.0,2.0,-356745.28558757715,1103249.2905875845,4992,13640312
1.5,1.0,1.5,-781108.2822868607,1103980.5822868722,5002,13481084
